Continent.Region,Country,LocationDescription,Latitude,Longitude,Elevation.m.,DateCollected,Month,Day,Year,Decade,MuseumOrField,SampleID,FieldID,Order,Family,Genus,Species,Subspecies,SpeciesName,Lifestage,BdStatus,GEScore,ZEScore,BdMethodology,SwabCollector,PreviouslyReported,Comments,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,HFP2009,croplands2005,Built2009,NavWater2009,Popdensity2010,Roads,Railways,Pasture2009,distplaya,disticemass,distlakepond,distreservoir,distswamp,distestuary,distintermittentstream,distperennialstream,distephemeralstream,distcanalditch
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM207,MVZ55593,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,1,2.91E-05,0.002328,qPCR (Vredenburg Lab),Sam McNally,NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM205,MVZ55598,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,1,0.00266,0.21,qPCR (Vredenburg Lab),Sam McNally,NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM203,MVZ55594,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM204,MVZ55595,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM202,MVZ55596,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM206,MVZ55597,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM208,MVZ55599,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM201,MVZ55600,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM200,MVZ55601,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
NorthAmerica,United States,"California_San Diego County_Doane Valley, Palomar Mt. State Park",33.34,-116.9,1427,1951,NA,NA,1951,1950s,Museum,SM209,MVZ55602,Anura,Ranidae,Rana,muscosa,NA,Rana muscosa,NA,0,NA,0,qPCR (Vredenburg Lab),Sam McNally,NA,"_Coordinate error (m) _Datum _not recorded_Put along Doane creek, in between upper and lower valleys.Estimated elevation using GPS Visualizer",148,149,49,5561,320,17,303,90,221,224,84,540,97,3,78,283,23,36,268,3.41507601737976,0,0,0,3,0.415075957775116,0,0,0.416630917441371,3.4844176536141,0.000881519999992975,0.0912285448634037,0.256718160727756,1.09792061748904,0.0546234942080988,0.00186991397644124,0.00131925099632115,0.15778343463805
